Location.City,Location.State,Data.Shape,Data.Description excerpt,Dates.Sighted.Year
anchorage,AK,triangle,Triangular shaped UFO blocks out starlight Anchorage evening sky,2007
anchorage,AK,triangle,Flashing lights&#44 triangular. Star sized&#44 clear night&#44 2 witnesses.,2012
anchorage,AK,triangle,UFO between our neighbors house and ours in Anchorage&#44 Alaska.,2012
anchorage,AK,triangle,Silent Objects over Anchorage Alaska while northern lights were out.,2010
anchorage,AK,triangle,Low flying triangular craft noticed traveling south along mountain range in Anchorage.,2002
bethel,AK,triangle,I happened to look out my back window and was shocked to see a huge triangular shaped craft at a very high altitude.,1996
bethel,AK,triangle,Triangle shaped and bright orange.,2014
delta junction,AK,triangle,2 UFO&#39s bright orange lights in Delta Junction&#44 Alaska,2013
juneau,AK,triangle,Triangular shaped craft with red lights seen lowering from the sky.,2009
juneau,AK,triangle,Seeing 3 space crafts in one night&#44,1998
kodiak,AK,triangle,Three white lights triangular shape seen over Pillar Mountain Kodiak Alaska.,2013
nikiski,AK,triangle,three of us were traveling to town when we witnessed what seemed to be a star       shaped bright light. As we approched the light&#44 we,2005
north pole,AK,triangle,Triangle shaped&#44 orange and yellow light. moving in erratic behavior for about  8 min.,2011
north pole,AK,triangle,It was dark and we noticed six circular lights in a triangular formation pretty high up in the sky moving pretty slow from the south we,2011
petersburg,AK,triangle,A silent lighted triangle,2001
seward,AK,triangle,Seward Alaska&#44 April 2001--massive sighting of battleship sized black triangle and other UFO&#39s could not be confirmed.,2001
wasilla,AK,triangle,a tiangle shaped craft with yellow lights below flew over.,2011
wasilla,AK,triangle,ON 3/16/2013 AT 23:20 SEEN NORTHERN LIGHTS THROUGH WINDOW WHILE GETTING READY FOR BED. WENT OUTSIDE TO ENJOY THE SHOW AND TOLD MY GIRLF,2013
wasilla,AK,triangle,A huge trianglar object moving in a true north direction.,1997
wasilla,AK,triangle,Stealth shapped silent object with no noise or vibration from north to south at slow sped and low altitude.,2005
wasilla,AK,triangle,3 lights low on north horizon outside of Wasilla&#44 AK 01/20/09 @ 7:15pm local time.,2009
wasilla,AK,triangle,Triangle craft silently maneuvering over Wasilla at 230 am,2014
wasilla,AK,triangle,3 red-orange lights on low flying UFO(s) off Parks Hwy in Wasilla in triangle formation.,2014
athens,AL,triangle,Triangle shape object moving silently passed directly over my head.,2006
athens,AL,triangle,2 Triangular aircraft in Athens&#44 AL,2007
athens,AL,triangle,Triangular shaped craft with three dimmly lit lights on the bottom of it and It was following something on the interstate going south.,2003
birmingham,AL,triangle,Black triangle materialized overhead and proceeded southbound,2010
birmingham,AL,triangle,three lights that formed a triangle in the night sky,1980
birmingham,AL,triangle,Craft puzzled by pilot...,2005
birmingham,AL,triangle,I saw a triangular shaped air craft that had three bright white lights and a dime one in the center of it.,2009
birmingham,AL,triangle,Light blue triangle over Southern Pines subdivision,2008
blountsville,AL,triangle,Three bright lights in a triangle shape passing over us no sound.,2013
brantley,AL,triangle,Large triangle shaped craft chased by a helicopter,2010
carbon hill,AL,triangle,A large triangle shaped craft&#44 close to the ground&#44 with no sound&#44 at all.,1978
chelsea,AL,triangle,Small triangular object flying in large circles above our area with lights in each corner making a very strange resonating sound.,2008
citronelle,AL,triangle,Triangle at night over Citronelle&#44 AL,2012
coldwater,AL,triangle,seen in 1972 and seen later too,1972
collinsville,AL,triangle,It was like something out of star wars,1975
collinsville,AL,triangle,Huge Triangular Craft,1987
crossville,AL,triangle,Black&#44 triangular object observed over pond in Crossville&#44 Al,2003
cullman,AL,triangle,Me and a few friends were outside working on my fathers truck when we looked up and saw all saw a black triangular craft hover over us.,2005
daphne,AL,triangle,Triangular shaped object with 3 lights&#44 passes over house at low altitude and made no sound.,1995
dothan,AL,triangle,three white lights in v formation until they blended in with the rest of the stars.,2009
elmore,AL,triangle,A seemingly cloaked or disguised craft,2007
enterprise,AL,triangle,Large black triangular ship seen near Enterprise&#44 Alabama.,1998
florence,AL,triangle,A fast triangular-shape without any noise which disapeared seconds after sighting.,2003
fort payne,AL,triangle,Silver&#44 triangular craft seen. Around 100 ft. long and 50-75 ft. wide.  ((NUFORC Note:  Student report.  PD)),2005
fort. deposit,AL,triangle,One large triangular craft with one dim light on each end and a smaller craft which looked like a helicopter.  Both of which made no no,2000
greenville,AL,triangle,Triangle shaped object - 2 witnesses,2012
grove hill,AL,triangle,Large triangle craft near commerical aircraft,2005
gulf shores,AL,triangle,I dont know what the object is besides the shape in the report.  ((e-address deleted)),2013
gulf shores,AL,triangle,Object looked to be a mile high &#44at least half mile wide with five lights three feet across on bottom.,2004
guntersville,AL,triangle,The date and time is not exact.  I was the shift supervisor at a chemical plant located on the banks of the Tennessee River.  Mountains,1980
haleyville,AL,triangle,Triangle seen in silhoutte against lunar disk.  ((NUFORC Note:  Exceptionally good report; object seen on edge of full Moon.  PD)),2008
hanceville,AL,triangle,Pink trianglular shaped UFO/lights off of I-65 in Alabama. The object(s) were in a field on the west side.,2005
hazel green,AL,triangle,Triangular shap goes through the eye of a storm,2002
heflin,AL,triangle,Low flying angular object seen near Hollis Crossroads. Heflin&#44 Alabama. Jan. 28 2006,2006
hoover,AL,triangle,page not available,2001
hoover,AL,triangle,Triangle shaped&#44 white lights on the side&#44 red light in middle. hovered over trees for a couple min.,2007
huntsville,AL,triangle,Object flys slowly over Huntsville Alabama,2004
huntsville,AL,triangle,The craft just sat over us&#44 no sound&#44 no lights.,1961
huntsville,AL,triangle,large triangular object near UAH in Huntsville&#44 Al moving very slowly with no sound,2007
huntsville,AL,triangle,&quot;very aggressive&#39&#39,2011
huntsville,AL,triangle,Large Aircraft int he shape of a triangle&#44 with each end having 1 red light.  Flying very low&#44 and very fast.  Extremely loud.,2014
huntsville,AL,triangle,Three brilliantly colored purple lights streaked beyond the eastern horizon at a fantastic rate of speed.,2005
huntsville,AL,triangle,Unknown Triangular craft near Huntsville,1998
jackson,AL,triangle,Triangular light-formation over forest near Jackson&#44 AL around midnight.,2007
lynn,AL,triangle,In February of 2000&#44 I was on routine patrol at approx. 0230 hrs CST.  As I drove behind the local High School&#44 I observed three lights,2000
madison,AL,triangle,Triangle shaped craft with orange-yellow lights that hovered very low near Redstone Arsenal in Madison&#44 Al,2010
madison,AL,triangle,Two Triangular Craft over Madison Alabama,2007
madison,AL,triangle,3 bright orange lights along side a bright white light.,2014
mckenzie,AL,triangle,Large amber lights in upside down triangle formation in Mckenzie Alabama moving due south at unknown speed.,2010
mobile,AL,triangle,a triangular bright white object seen out of store window in Mobile&#44 AL with eratict motion..,2003
mobile,AL,triangle,I was on my way home from work (overtime) and i was on this long road with trees on both sides of the highway. The road was practically,2011
mobile,AL,triangle,dark triangular object at 200 ft. moving up creek bed to police HQ in Mobile AL.,2002
mobile,AL,triangle,First sighting of triangular bright white object moving over Mobile&#44 AL. at night from the south,2003
mobile,AL,triangle,a triangular shame with white lights marking the corners no lines conecting the dots but flying in syncronized form.  to far in the sky,2000
montevallo,AL,triangle,slow moving triangle with red and white lights,2009
montgomery,AL,triangle,low slow bright light&#44 no sound,2000
montgomery,AL,triangle,Triangular objects of incredible speed and movement,2005
montgomery,AL,triangle,triangular object with 3 bright lights moved east to west  across east montgomery over the v.a. hospital.,1994
montgomery,AL,triangle,I was coming back to my college dorm at Auburn University at Montgomery -AUM (after grocery shopping one night) and I saw &quot;something&quot; h,1994
montgomery,AL,triangle,A huge&#44 very low&#44 black triangle traveling at a very low speed and making a low hissing sound traveled directly over my home.,1994
moundville,AL,triangle,3 adults witnessed 7 lighted flying objects moving in a straight line the last one falling.,2013
new hope,AL,triangle,On that night it was very cold. I had carried the trash out and notice a bright light at the horizon. Being fascinated by all things in,1993
new market,AL,triangle,Discs in V-formation flying over Northern Alabama in the summer of 1967,1967
oneonta,AL,triangle,Immediate u- turn. no noise.,2012
opp,AL,triangle,Triangle Shaped craft between Opp and Andalusia,2003
petersville,AL,triangle,A three lighted object seems to be surveying north Alabama.,2008
phenix city,AL,triangle,bright object hovering in sky during lightning storm Phenix city&#44 Al,2009
prattville,AL,triangle,Dark triangular craft. Was flying slow&#44 as well as low. No lights. Strange&#44 loud&#44 pulsating&#44 humming sound.,2007
rehobeth,AL,triangle,Triangle Shaped UFO spotted by six in rural Alabama,2009
salem,AL,triangle,Triangular craft whit no lights or exhaust flying way too slow at less than 100 feet off the ground,1993
southside,AL,triangle,At approximately 9:30 PM (21:30) I was on my deck smoking a cigarette and as I do nightly&#44 looked into the sky to see the clarity of th,2007
stockton,AL,triangle,A triangular craft 200ft high and 500 foot from my position..hovering,2002
sylacauga,AL,triangle,Orbs arranged in a triangular formation fly across the night sky.,2013
toney,AL,triangle,2 triangular ships over my sons football game,2006
wetumpka,AL,triangle,MY DAD had a deck beside the House&#44 where i occasionaly sit &amp; watch the stars at Night I sometimes go out to look at the stars once or,1992
woodville,AL,triangle,Object had 4 white lights shining their beams behind it. They swept around to the front and it took off north.,1996
atkins,AR,triangle,ARKANSAS SIGHTING,2012
augusta,AR,triangle,00:15 10/04/03  Augusta&#44 Arkansas       Observed 3 stationary bright lights in the shape of a triangle.,2003
avilla,AR,triangle,large triangle with three red lights and made no sound hovered in place&#44  then escorted off by approaching military jet.,1989
bald knob,AR,triangle,ORANGE TRIANGULAR CRAFT&#44NO NOISE,1980
batesville,AR,triangle,shiny object hangs in sky 10 mintues.  ((NUFORC Note:  Venus??  PD)),2004
bauxite,AR,triangle,The object moved left to right very slowly&#44 closed to the ground with lights flashing like strobes.,2000
beebe,AR,triangle,A friend and I were sitting at a stop light at the intersection of Old Hwy 67 and Main St.  (old downtown) Beebe&#44  I looked up to my ri,2012
beebe,AR,triangle,Triangle UFO observed for 15 min over Arkansas  interstate 67 just past mile marker 29.,2014
bigelow,AR,triangle,Slow moving triangle craft above clearcut field in rural Arkansas,2002
cabot,AR,triangle,An object&#44 in the shape of an upside-down V with white lights on both sides of this V.  No motion observed.,2001
calion,AR,triangle,Hovered then shot off like a missle,1982
calion,AR,triangle,It was black with a bunch (100 or more) small white lights (Like a christmas tree/decoration) and hovered silently.,1982
conway,AR,triangle,sighting of hovering triangle shaped ufo over conway&#44arkansas,2011
conway,AR,triangle,While walking outside near midnight saw two triangular shaped low flying large craft directly overhead,2011
conway,AR,triangle,Three triangle shaped craft&#44 Black in color as far as I could tell. The craft would apear and disapear as they flew across the sky. In,1999
conway,AR,triangle,Many blue lights.  About 60 meters long (base to point).  30 meters high.,1999
conway,AR,triangle,Massive/low/silent black triangle cruises back and forth over downtown Conway,2008
conway,AR,triangle,Three triangular shaped aircraft,2012
dover,AR,triangle,A LARGE CRAFT FLEW THREW THE AIR AT UNMARKABLE SPEEDS. IT ALSO HAD A SMALL CRAFT THAT FOLOWED IT AND FLASHED ABOUT EVERY TWENTY SEC.,2000
el dorado,AR,triangle,We saw a kite shaped object with lights shaped like a V&#44no sound flew very low.,2006
england,AR,triangle,Large black&#44 triangular shaped aircraft with many bright white lights hovering over rural area along Hwy 161.,2012
fayetteville,AR,triangle,Triangle with orange lights traveled from 180&#176; S to 240&#176; SW over 45 seconds&#44 then dropped vertically behind tree line.,2013
fort smith,AR,triangle,triangular shape and fireball in Arkansas,2003
fort smith,AR,triangle,5 orange lights shaped in a HUGE triangle/v shape about 2000 ft high,2000
fort smith,AR,triangle,Clear night bright light that looked like a star but moved vertically and then horizontally with flashing lights rear.,2013
fort smith,AR,triangle,Strange Very Large Trianglar Craft Floating Across the Late Evening Sky Over Fort Smith&#44 Arkansas 09/07/04,2004
fulton,AR,triangle,Triangle Black Object too Big&#44 Quiet&#44 and Fast.,1999
gentry,AR,triangle,Gentry&#44 AR   orange three spots triangle,2007
gentry,AR,triangle,Silent triangle,2006
greenbrier,AR,triangle,When my mom&#44 my brother&#44 and I was riding home a triangular object flew over the highway and disappeared.,2008
hardy,AR,triangle,it shaped like a tryangle an it zig zaged  across the sky at mindboggling speed stoping on a dime .,1985
harrison,AR,triangle,Numerous Lifelong Sightings.,1988
helena,AR,triangle,I was outside of the police station with my dog when I got this sudden urge to look up. I saw a black triangle flying really low and ma,1991
highfill,AR,triangle,Triangular craft 3 green lights visible.,2014
holiday island,AR,triangle,Triangular patterned lights over Holiday Island&#44 Arkansas marina.,2010
hot springs,AR,triangle,I was sitting on the deck from my friend&#39s condo on the lake and looked across the water and saw in the distance a triangle shape with,2008
hot springs village,AR,triangle,On October 27&#44 2003 was heading home from seeing friends in Hot Springs Village which is 8 miles Northeast of Hot Springs&#44 AR.  The eve,2003
jacksonville,AR,triangle,Luminious at a distance&#44 very fire like ( massive blaze&#44 orangish-red glow&#44 turning amber up close. Very quiet. Triangular shape&#44,1977
jasper,AR,triangle,Triangle formation of lights in the sky  ((NUFORC Note:  Report not inconsistent with U. S. Navy NOSS satellites.  PD)),2004
kingston,AR,triangle,low elevation above trees hovering&#44 no sound. triangle shape.dull metalic color w/ 3 pulsating dim lights on each corner. calm experien,1996
lake village,AR,triangle,two air craft one known the other?  ((NUFORC Note:  Report appears to be unrelated to UFO activity.  PD)),2006
little rock,AR,triangle,I first noticed one object moving from NE to SE. The object was visible at about 45 degrees in the NE sky. It moved silently at a unifo,2000
little rock,AR,triangle,Stealth Black Triangular Platform with bronze plasma looking lights on the corners,1999
little rock,AR,triangle,Triangular arrangements of lights appearing to begin to land on freeway&#44 miltary-ish cars mobilze around it,1991
little rock,AR,triangle,3 white blinking lights in triangle formation the size of multipe football fields.,2012
little rock,AR,triangle,low flying triangle yellow circular lights humming noise little rock,2004
little rock,AR,triangle,noticed a large triangle type craft hovering over a shopping center parking lot near some apartments in the early mourning hours in lit,1999
little rock,AR,triangle,Large/Slow Moving/Quiet /Low AltitudeTriangular Aircraft - Little Rock,2008
little rock,AR,triangle,Triangler lights spotted 15 miles south of Little Rock,2003
little rock,AR,triangle,A small triangle craft flew over me and then flew off into a field and looked like it landed in this field.,1999
little rock,AR,triangle,My friends&#44 and I were out for lunch when we saw three triangle shaped lights beaming at a very low altitude. The lights were so bright,2001
lowell,AR,triangle,Large silent triangular craft sighted.,2005
magnolia,AR,triangle,Triangle Craft spins overhead and then speeds away.,2003
malvern,AR,triangle,Saw at least three triangle shaped craft hovering over a field and the surrounding woods.  Then saw another fly accross the road.,2002
malvern,AR,triangle,Observed bright light approaching from west&#44 drawing closer proved to be 3 separate lights on triangular craft&#44 which passed directly o,1989
mayflower,AR,triangle,Bright light v shaped craft.,2013
mccrory,AR,triangle,We witnessed a triangular shaped object in the western sky above the town over McCrory&#44 AR - - It then vanished - not just the object&#44,1999
mena,AR,triangle,The object was of un known orgin,2003
north little rock,AR,triangle,Travelling home from Stuttgart&#44 AR to North Little Rock&#44 AR on US 65.  I had just passed into North Little Rock&#44 AR city limits where U,2005
north little rock,AR,triangle,Clearly observed a triangular craft outfitted with three bright lights.  Object made no sound and floated perfectly still for around fo,1996
north little rock,AR,triangle,massive triangular craft--forward moving sides had spaced lights&#44 non-blinking--back side unlit--with almost opaque shadow quality of c,1998
overcup,AR,triangle,3 ufo north on hwy 9,2000
ponca,AR,triangle,Citing of a triangle shaped craft on the river.,2001
pottsville,AR,triangle,lights&#44qiuet&#44slow drift&#44&#44&quot;whats all theses strang lights flying around&quot;.,2004
rogers,AR,triangle,Two triangular sets of lights seen over Rogers&#44 Ark,2011
russellville,AR,triangle,Russellville&#44 AR&#44 triangle lights west of nuclear power plant.  ((NUFORC Note:  See addenda from reader&#44 and source of report&#33&#33  PD)),2009
russellville,AR,triangle,Followed a craft and ended following two crafts that was just to fast to keep up with.,2011
russellville,AR,triangle,Three Lights Form Triangle in Sky Near Russellville&#44 AR on Evening of 10/29/03,2003
sherwood,AR,triangle,I was watching for the leonids meteors before going into work. I saw three lights (dim&#44 like distant stars) in a triangular formation.,1998
siloam springs,AR,triangle,three lights moving in a triangle formation&#44 no sound&#44 all three lights went out at the same moment,1996
smackover,AR,triangle,Triangle UFO,2010
springdale,AR,triangle,Orangish triangle shaped flying object in nwa on july 4th 2011 around midnight flying north,2011
springdale,AR,triangle,Triangle  very weird odd buzzing humming sound and solid lights,2013
springdale,AR,triangle,Sitting outside on my lunch break when I noticed a black dot in the sky.,2012
waldenburg,AR,triangle,October 22nd&#44 2011&#44 1:50am Waldenburg&#44 AR&#44 on AR-14. Triangular UFO.,2011
walnut ridge,AR,triangle,((HOAX??))  Six trangle shaped crafts with no noise&#44 bright white lights&#44 a few red lights&#44 flying and hovering over NE Ark.,2008
war eagle,AR,triangle,Three sky blue triangles make two turns in formation,2011
ward,AR,triangle,Triangle in the North West sky.,2010
winslow,AR,triangle,triangle shape &#44redlight allaround the edge.  hull looked like a grown carbon &#44 as it passed over sound and wind stopped till it finish,1985
aguila,AZ,triangle,Large triange craft composed of 3 large white globes glided low over hiway in front of truck.  It searched the ground with beams of lig,1997
amado,AZ,triangle,Sighted 10 UFO&#39s who appeared to be mining.,2003
apache junction,AZ,triangle,Object was spotted at the southern tip of Superstition Mountain as I was driving East on U.S. 60.  Object appeared metallic in nature.,2008
arizona city,AZ,triangle,Triangle UFO with orange lights seen over Arizona City twice in one day.,2007
avondale,AZ,triangle,triangle craft flew low overhead it made no sound 3 orange lights,2001
black canyon city,AZ,triangle,4 Bright Lights&#44 1 triangular shape&#44 &#44hover over APS Power line&#44 Interstate 17 at Black Canyon City,2007
bouse,AZ,triangle,5/15/97 at 22:45pm&#44 son and I saw a 150ft pie wedged shaped craft fly down our valley East to West at 30-40mph at 30ft altitude. At eac,1997
bullhead city,AZ,triangle,spirattic triangular light  bouncing about,2010
camp verde,AZ,triangle,Bright gold triangle seen moving silently&#44 smoothly&#44 and quickly  across the night sky from Phoenix area towards California.,2004
casa grande,AZ,triangle,Triangle Shaped Object Over I-10 Near Casa Grande,1998
casa grande,AZ,triangle,I observed a boomerang shaped object above my vehicle on the I-10 freeway&#44 suspended without motion and completely silent.,2000
casa grande,AZ,triangle,Triangle Shaped Object Over I-10 Near Casa Grande.,1998
casa grande,AZ,triangle,on the 3rd of july at around 10pm I was in the desert about 3 miles south of exit 200 on i 10 &amp;i8 outside of Casagrande AZ.I was lookin,2005
casa grande,AZ,triangle,Triangular distortion hovers and vanishes with pulse.,2008
casa grande,AZ,triangle,Triangle object that moved with incredible speed,1999
casa grande,AZ,triangle,triangle with very bright lights on I-10 near Casa Grande,1999
casa grande,AZ,triangle,Triangular craft with orange lights moving in an odd pattern.,2006
cashion,AZ,triangle,Huge slow moving black triangle that oddly appeared to have caused us a loss of time. (no&#33  this is not a joke),2004
cave creek,AZ,triangle,Triangular pattern of 3 moving lights north of Phoenix.,2001
cave creek,AZ,triangle,One object&#44 triangular (V-shaped) with 3 yellow lights&#44 one at center of the V and one on each side at the end&#44 with red lights at each,1997
chandler,AZ,triangle,I saw these lights as I was driving from the 101 South onto the 202 East San Tan Freeway. I saw the lights first in front of me as I wa,2013
chandler,AZ,triangle,Triangle amber yellow lights over Chandler Arizona,2013
chandler,AZ,triangle,Lights similar to the Phoenix Lights sighted in SW Chandler&#44 AZ.  ((NUFORC Note:  Possibly flares over Gila Bend Firing Range.  PD)),2007
chandler,AZ,triangle,bright lights in a triangle formation,2005
chandler,AZ,triangle,Pulsating triangular shaped object flying low&#44 fast and silent over South Eastern Phoenix,2006
chandler,AZ,triangle,Fuzzy triangle sidewinds Arizona night sky,2001
chandler,AZ,triangle,Triangular object with 3 lights hovered and disappaered,2008
chandler,AZ,triangle,THE OBJECT SWOOPED DOWN AND DECENDED EASTWARD&#44 TOTALLY SILENT,2003
circle city,AZ,triangle,Low hovering orange triangle of lights,2009
coolidge,AZ,triangle,I saw a truangle shape thing in the sky with 4 light one each on the ege and the othe in the center .the center one looked red.,1999
coolidge,AZ,triangle,UFO&#39s or not,1989
cottonwood,AZ,triangle,Triangle or three-light formation seen in daylight,2007
flagstaff,AZ,triangle,I think were in big trouble.,2001
flagstaff,AZ,triangle,Large Triangle defined by white strobe lights&#44 turning slowly to east.,1999
flagstaff,AZ,triangle,Driving North on Highway 66 and saw a 2 bright white lights.  I asked my husband what it was (we drive home this way every day/night).,1999
flagstaff,AZ,triangle,I saw a triangle craft that had many lights then flew away a high speed.,2001
flagstaff,AZ,triangle,Three strange crafts seen over Flagstaff&#44  Arizona later attaching themselves to each other,2002
flagstaff,AZ,triangle,triangular shape object with lights on all three points moving slowly north bound quik flash and disapeares,2005
fountain hills,AZ,triangle,I was out and about walking my dog when all the sudden this triangle in the sky was up really high and id never seen any airplane shape,2004
fountain hills,AZ,triangle,Dark unlit aircraft passes at low altitude,2001
fountain hills,AZ,triangle,White lights flashing in my window,2010
gila bend,AZ,triangle,black squat triangle - no lights -  emiting smoke like dark mist,2000
gilbert,AZ,triangle,Nov 26th 6:55pm I saw three red lights,2003
gilbert,AZ,triangle,Fuzzy dim cloud moveing South to East&#44 it passed in front of moon then could see a physical triangle shape,2012
gilbert,AZ,triangle,10 objects&#44 pulsating red flame and yellow over Gilbert&#44 Az. March 9&#44 2013,2013
gilbert,AZ,triangle,Three tinted blue lights in shape of triangle. 12AM 3/22/05 Gilbert/Phoenix,2005
gilbert,AZ,triangle,Strange fast moving strobe lights across the Phoenix and East Valley skies.,2004
gilbert,AZ,triangle,Sitting outside on my back porch I observed the object fly over my house flew over at a slow speed disappeared in about a minute. It wa,2014
glendale,AZ,triangle,Shooting star looking object that moved quickly and freely across the sky for several hours.,2000
glendale,AZ,triangle,At an intersecton I saw a silent and motionless triangle in the evening sky.,2000
glendale,AZ,triangle,whoosh sound doppler the sound of plane propeller&#44 prompted turn to north&#44 object uncloaked&#44 traveled east cloaked to dissapear,2011
glendale,AZ,triangle,Changing color UFO&#44 sighted 4/24/13 near Glendale&#44 AZ. Recording at 9pm Arizona time.,2013
glendale,AZ,triangle,Sitting outside with wife and witnessed a large triangular shaped object had no sound or lights. I got my wifes attention and she witne,2003
glendale,AZ,triangle,silent triangle craft in North Phoenix,2009
glendale,AZ,triangle,PHOENIX TRIANGLE U.F.O SPOTTED AGAIN- SEP/ 14/ 2002 AT 12:05 AM,2002
goodyear,AZ,triangle,Triangle shaped lights flying over outskirts of Phoenix from SSW to NNE at 0440am.,2011
grand canyon,AZ,triangle,At night 3 white lights in a triangular shape moving slowing across the sky.,2001
green valley,AZ,triangle,Overfly of I-19 of triangle shaped-three light object,2005
green valley,AZ,triangle,three bright bluish-white lights. possible triangle craft?,2005
green valley,AZ,triangle,Triiangular object seen over Green Valley&#44 AZ 2/26/08,2008
green valley,AZ,triangle,Live Green valley. Saw craft over the hills to the East far off in the distance. Craft appeard to remain very stationary&#44 or or times t,2008
greer,AZ,triangle,Three lights arranged in a triangle shape&#44 red-orange&#44 moving slowly and very far away.,2000
heber,AZ,triangle,Witnessed an enormous black triangle with lights traveling overhead&#44 at a very low altitude at night in a remote area.,1977
holbrook,AZ,triangle,Luminescent white wedge seen at high altitude  flying at high rate of speed.,2000
kingman,AZ,triangle,Triangular shape craft with diamond shape lights,2003
litchfield park,AZ,triangle,AIR FORCE FIGHTER JETS CHASED UPSIDE TRIANGLE SHAPED CRAFT OVER ARIZONA SKIES,1998
litchfield park,AZ,triangle,to dark to see color.,2004
litchfield park,AZ,triangle,Strange craft with blinking lights in a solid dark black triangular formation spotted over golf course in Litchfield Park&#44 Arizona.,2005
marana,AZ,triangle,3 bright lights form triangle over Marana,2007
maricopa,AZ,triangle,Triangle formation of lights followed by single light,2011
maricopa,AZ,triangle,Orange lights in the sky.,2006
mesa,AZ,triangle,Ufo as big as a football field&#44boomerang shaped&#44with red non blinking lights&#33,2008
mesa,AZ,triangle,The triangle shaped craft sat there for a couple seconds and then shot off really really fast.,2012
mesa,AZ,triangle,triangle shaped&#44 5 lights&#44 silent&#44 fast&#44,2011
mesa,AZ,triangle,2 ufo sighted above Superstition Mt Mesa Az 330am 9-17,2013
mesa,AZ,triangle,Appeared round from the ground&#44 but unusually bright. Upon observation through binoculars it appeared more diamond shaped.,2013
mesa,AZ,triangle,In Mesa&#44 AZ&#44 I clearly saw a large triangular ship&#44 flying slowly---it turned / flew away at terrific speed.,1997
mesa,AZ,triangle,UPDATE TO 2/6/97 MESA&#44 AZ SIGHTING ALREADY POSTED TO NUFORC WEBSITE,1997
mesa,AZ,triangle,Viewed a light yellowish-orange somewhat translucent triangular-shape object with an undulating light.,1997
mesa,AZ,triangle,Triangle light pattern with 4th light in the center observed by 2 neighbors,2008
mesa,AZ,triangle,red lights over mesa arizona,2005
mesa,AZ,triangle,3 red triangle lights over mesa arizona moving at a slow rate of speed.,2005
mesa,AZ,triangle,Black Triangle glides over the night sky,2006
mesa,AZ,triangle,Three lights in a triangle dim simultaneously,2005
mesa,AZ,triangle,Triangle craft with flashing lights.,2012
mesa,AZ,triangle,Tripod shaped object with red&#44  blue&#44 and yellow/white flashing lights hovering and or moving over the east valley.,2003
mexican water,AZ,triangle,Four corners area,2008
mexican water,AZ,triangle,One night I was sitting outside with my baby girl&#44 hoping to see a falling star.  We were just sitting in our lounge chair looking up i,2002
mormon lake,AZ,triangle,A large triangle flying at high altitude,2003
nogales,AZ,triangle,Red glowing triangle shaped object flying away from the sun.,2002
nogales,AZ,triangle,There is a triangular large craft on top of downtown nogales flashing 4 to 6 lights not moving at all. its pretty large so i know i won,2012
overgaard,AZ,triangle,At 7:30 pm&#44 the sky was still blue when we saw 3 large separate red lights moving in a triangular formation in the northeastern sky.,2000
paradise valley,AZ,triangle,4:45am driving to work and got right under it to study&#443 lights in a triangle&#44 starting flying away when I started studing it,2005
paradise valley,AZ,triangle,At approximately 1:30 am while smoking a cigarette in my back yard&#44 movement high up in the atmosphere caught my eye.,2012
peoria,AZ,triangle,At approximately 0515 hrs. on the 11 of Feb. while traveling south on the 101 coming up Thomas Road in the west valley I observe what a,2005
peoria,AZ,triangle,Many sightings of 12 orange lights&#44 bouncing + pattern formation&#44 high rate of acceleration 8:34 PM on 10/12/05,2005
peoria,AZ,triangle,3 white dot triangle.,2013
phoenix,AZ,triangle,Triangle shaped craft spotted flying west to east over mid town Phoenix on 10/10/01 at 22:00 hours 4 light dim making no sounellow,2001
phoenix,AZ,triangle,LOOKED LIKE A FORMATION OF PLANES WITH THERE LANDING LIGHTS ON ONLY THERE WAS NO ENGINE NOISE FOLLOWING,1997
phoenix,AZ,triangle,v of lights over phoenix az.,1997
phoenix,AZ,triangle,at aprox.2030hrs i saw what appered to be a triangular shaped object&#44that appeared to be red orange moving at a very high rate of speed,2002
phoenix,AZ,triangle,UFO over Phoenix 1997,1997
phoenix,AZ,triangle,Three large orange lights / triangular craft&#44 North-Central Phoenix,2012
phoenix,AZ,triangle,November 1&#44 2002 I seen a Triangle shaped craft.,2002
phoenix,AZ,triangle,thursday oct 25 10:20 pm myself and and 1 other individual wittnessed a triangular shaped craft flying aprox 1000 feet coming from nort,2001
phoenix,AZ,triangle,witnessed a triangular shaped craft flying approx. 1000&#39 going north to south at a high rate of speed.,2001
phoenix,AZ,triangle,My wife and I were walking our dogs on the south side of South Mountain in the mountain park when we saw the ufo come over the mountain,1997
phoenix,AZ,triangle,Phoenix UFO sighting March 13&#44 1997,1997
phoenix,AZ,triangle,I was in my back yard petting the dogs when i heard a loud&#44low rumble of a passing jet plane.When i looked up i saw a huge triangle cra,2000
phoenix,AZ,triangle,Amber-Orange triangle of 3 lights southeast of Phoenix&#44 AZ.,2013
phoenix,AZ,triangle,Apr. 9&#44 04 Phoenix AZ a dark huge triangular shaped&#44 noiseless object flew over my home heading due North,2004
phoenix,AZ,triangle,two craft objects seen&#44 one horizontal in shape&#44 the other triangular. And some flashing red orb shaped lights in the background,2008
phoenix,AZ,triangle,Phoenix sighting of 7 strange ships in the air,2004
phoenix,AZ,triangle,Unexplained Arizona Sighting,1997
phoenix,AZ,triangle,Another report on the Phoenix lights&#44 but every prospective is important to get the whole picture and or map the object as it decended,1997
